Movie,LeadStudio,AudienceScore,Story,Genre,TheatersOpenWeek,OpeningWeekend,DomesticGross,ForeignGross,WorldGross,Budget,Profitability,Year
Despicable Me,Universal,81,Maturation,Animation,3476,56.4,251.51,291.6,543.113,69,787.12,2010
Devil,Independent,45,Monster Force,Horror,2809,12.3,33.6,29.09,62.694,10,626.94,2010
Diary of a Wimpy Kid,Independent,49,Underdog,Comedy,3077,22.1,64,11.7,75.7,15,504.67,2010
Dinner for Schmucks,Paramount,47,Comedy,Comedy,2911,23.5,73.03,13.83,86.855,69,125.88,2010
Due Date,Warner Bros,56,Comedy,Comedy,3355,32.69,100.54,111.24,211.78,50,423.56,2010
Easy A,Sony,75,Maturation,Comedy,2856,17.7,58.4,16.55,74.95,8,936.88,2010
Eat Pray Love,Sony,46,Journey and Return,Drama,3082,23.1,80.57,124.02,204.59,60,340.98,2010
For Colored Girls,Independent,73,Discovery,Drama,2127,19.5,37.73,17.32,55.049,21,262.14,2010
From Paris with Love,Independent,57,Pursuit,Action,2722,8.2,24.08,28.75,52.829,52,101.59,2010
Furry Vengeance,Summit,36,Comedy,Comedy,2997,6.6,17.63,18.61,36.236,35,103.53,2010
Get Him to the Greek,Universal,63,Comedy,Comedy,2697,17.6,60.97,30.29,91.257,40,228.14,2010
Going the Distance,Warner Bros,56,Love,Comedy,3030,6.9,17.8,24.25,42.05,32,131.41,2010
Green Zone,Universal,60,Quest,Action,3003,14.3,35.05,59.83,94.878,100,94.88,2010
Grown Ups,Independent,59,Comedy,Comedy,3534,40.5,162,109.43,271.43,80,339.29,2010
Gulliver's Travels,Fox,31,Journey and Return,Comedy,2546,6.3,42.78,194.6,237.382,112,211.95,2010
Harry Potter and the Deathly Hallows Part 1,Warner Bros,87,Quest,Adventure,4125,125,295,664.3,959.3,125,767.44,2010
How to Train Your Dragon,Paramount,90,Underdog,Animation,4055,43.7,217.58,277.3,494.88,165,299.93,2010
Inception,Warner Bros,93,Journey and Return,Action,3792,62.8,292.58,532.96,825.536,160,515.96,2010
Iron Man 2,Paramount,80,Rivalry,Action,4380,128.1,312.43,311.5,623.93,200,311.97,2010
Jonah Hex,Warner Bros,24,Revenge,Action,2825,5.4,10.55,0.36,10.91,47,23.21,2010
Percy Jackson & the Olympians: The Lightning Thief,Fox,57,Rivalry,Action,3356,31.2,88.77,137.73,226.5,95,238.42,2010
Predators,Fox,52,Monster Force,Action,2669,24.8,52,75.23,127.232,40,318.08,2010
Prince of Persia: The Sands of Time,Disney,71,Rivalry,Action,3646,30,90.76,245.61,336.365,200,168.18,2010
Red,Summit,72,Rivalry,Action,3255,21.8,90.38,108.63,199.006,58,343.11,2010
Remember Me,Summit,70,Love,Drama,2212,8,19.07,36.96,56.034,16,350.21,2010
Repo Men,Universal,43,Rescue,Action,2521,6.1,13.79,4.62,18.41,32,57.53,2010
Robin Hood,Universal,59,Rivalry,Action,3503,36,105.27,216.4,321.669,200,160.83,2010
Salt,Sony,62,Revenge,Action,3612,36,118.31,175.19,293.502,110,266.82,2010
Scott Pilgrim vs. the World,Universal,83,Underdog,Action,2818,10.6,31.52,16.14,47.66,60,79.43,2010
Sex and the City 2,Warner Bros,49,Love,Comedy,3445,31,95.35,193,288.347,100,288.35,2010
She's Out of My League,Paramount,60,Love,Comedy,2956,9.8,32.01,17.77,49.778,20,248.89,2010
Shrek Forever After,Paramount,64,Journey and Return,Animation,4359,70.8,238.74,513.86,752.604,165,456.12,2010
Shutter Island,Paramount,73,The Riddle,Drama,2991,41,128.01,166.79,294.802,80,368.5,2010
Skyline,Independent,19,Monster Force,Action,2880,11.69,21.39,45.43,66.817,10,668.17,2010
Solitary Man,Independent,47,Wretched Excess,Comedy,4,0.09,4.36,0.82,5.178,15,34.52,2010
Step Up 3D,Summit,67,Transformation,Drama,2435,15.8,42.4,116.89,159.291,30,530.97,2010
Stone,Independent,20,Rivalry,Drama,6,0.075,1.81,7.67,9.479,22,43.09,2010
Takers,Sony,57,Rivalry,Action,2206,20.5,57.74,11.31,69.05,32,215.78,2010
Tangled,Disney,88,Love,Animation,3603,48.77,200.82,390.97,591.794,260,227.61,2010
The A-Team,Fox,71,Pursuit,Action,3535,25.7,77.22,100.02,177.236,100,177.24,2010
The Book of Eli,Independent,68,Quest,Action,3111,32.7,94.84,62.27,157.107,80,196.38,2010
The Bounty Hunter,Sony,41,Rivalry,Action,3074,20.7,67.06,69.27,136.333,40,340.83,2010
The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,63,Quest,Adventure,3555,24,104.39,311.3,415.685,155,268.18,2010
The Expendables,Independent,58,Pursuit,Action,3270,34.8,103.07,171.4,274.469,82,334.72,2010
The Fighter,Paramount,88,Underdog,Drama,2503,12,93.62,35.54,129.154,25,516.62,2010
The Ghost Writer,Summit,68,The Riddle,Mystery,819,2,15.54,44.68,60.22,45,133.82,2010
The Karate Kid,Sony,75,Underdog,Action,3663,55.7,176.59,182.53,359.12,40,897.8,2010
The Social Network,Sony,89,Rags to Riches,Biography,2771,22.4,96.96,127.96,224.919,50,449.84,2010
The Sorcerer's Apprentice,Disney,57,Pursuit,Action,3504,17.6,63.15,152.13,215.28,150,143.52,2010
The Switch,Independent,44,Comedy,Comedy,2012,8.4,27.78,22.05,49.831,19,262.27,2010
The Tourist,Sony,44,Love,Thriller,2756,16,67.63,210.72,278.346,100,278.35,2010
The Twilight Saga: Eclipse,Summit,74,Monster Force,Drama,4468,64.8,300.53,397.96,698.489,68,1027.19,2010
The Wolfman,Universal,38,Monster Force,Drama,3222,31.5,61.98,77.81,139.79,150,93.19,2010
Tooth Fairy,Fox,46,Comedy,Comedy,3344,14,60.02,52.44,112.46,48,234.29,2010
Toy Story 3,Disney,91,Rescue,Animation,4028,110.3,415,648.16,1063.16,200,531.58,2010
Vampires Suck,Independent,32,Comedy,Comedy,3233,12.2,36.66,43.89,80.546,20,402.73,2010
30 Minutes or Less,Independent,48,Comedy,Comedy,2888,13.33,37.05,3.49,40.55,28,144.81,2011
50/50,Independent,93,Discovery,Comedy,2458,8.64,35.01,4.17,39.19,8,489.84,2011
Arthur,Warner Bros,49,Sacrifice,Comedy,3276,12.22,33.04,12.7,45.74,40,114.34,2011
Arthur Christmas,Aardman Animations,82,Journey and Return,Animation,3376,12.07,46.46,100.95,147.41,150,98.27,2011
Bad Teacher,Independent,38,Comedy,Comedy,3049,31.6,100.29,115.9,216.2,20,1080.98,2011
Beginners,Independent,80,Love,Comedy,5,0.14,5.79,8.52,14.31,3.2,447.19,2011
Captain America: The First Avenger,Disney,75,Metamorphosis,Action,3715,65.06,176.65,193.92,370.57,140,264.69,2011
Cars 2,Pixar,56,Fish Out Of Water,Animation,4115,66.14,191.45,368.4,559.85,200,279.93,2011
Colombiana,Sony,55,Revenge,Action,2614,10.41,36.67,24.3,60.97,40,152.41,2011
Contagion,Warner Bros,63,The Riddle,Thriller,3222,22.4,75.66,59.8,135.46,60,225.76,2011
Cowboys and Aliens,Universal,50,Monster Force,Action,3750,36.43,100.24,74.58,174.82,163,107.25,2011
"Crazy, Stupid, Love",Warner Bros,81,Discovery,Romance,3020,19.1,84.35,58.5,142.85,50,285.7,2011
Diary of a Wimpy Kid 2: Rodrick Rules,Fox,63,Comedy,Comedy,3167,23.75,52.7,19.72,72.42,21,344.84,2011
Dolphin Tale,Independent,81,Quest,Drama,3507,19.15,72.29,23.12,95.41,37,257.86,2011
Dream House,Morgan Creek,38,The Riddle,Horror,2661,8.13,21.3,17.2,38.5,50,77,2011
Drive,Independent,79,Rivalry,Thriller,2886,11.34,35.06,41.11,76.17,15,507.83,2011
Drive Angry,Independent,38,Rescue,Action,2290,5.19,10.72,18.21,28.93,45,64.29,2011
Fast Five,Universal,83,Escape,Action,3644,86.19,209.4,416.3,626.13,125,500.9,2011
Harry Potter and the Deathly Hallows Part 2,Warner Bros,92,Rivalry,Fantasy,4375,169.19,381.01,960.5,1341.51,125,1073.21,2011
Horrible Bosses,Warner Bros,72,Revenge,Comedy,3040,28.3,117.54,92.1,209.64,35,598.97,2011
I Am Number Four,Paramount,57,Maturation,Thriller,3154,19.45,55.1,94.78,149.88,60,249.8,2011
Insidious,Sony,65,Monster Force,Horror,2408,13.27,54.01,43,97.01,1.5,6467.27,2011
J.Edgar,Warner Bros,84,Wretched Excess,Drama,1910,11.22,37.31,47.3,84.61,35,241.73,2011
Killer Elite,Independent,48,Rivalry,Action,2986,9.35,25.12,31.26,56.38,70,80.55,2011
Kung Fu Panda 2,DreamWorks,80,Rivalry,Animation,3925,47.66,165.25,500.44,665.69,150,443.79,2011
Larry Crowne,Universal,46,Discovery,Drama,2973,13.1,35.61,36.4,72.01,30,240.03,2011
Mission Impossible 4,Paramount,86,Pursuit,Action,3448,29.55,209.39,485.32,694.71,145,479.11,2011
Pirates of the Caribbean:On Stranger Tides,Disney,61,Quest,Action,4155,90.15,241.07,804.64,1045.71,250,418.28,2011
Priest,Sony,37,Monster Force,Action,2864,14.95,29.14,49.17,78.31,60,130.51,2011
Puss In Boots,DreamWorks,76,Quest,Animation,3952,34.08,149.26,405.73,554.99,130,426.91,2011
Rango,Paramount,69,Fish Out Of Water,Animation,3917,38.08,123.48,122.25,245.72,135,182.02,2011
Real Steel,DreamWorks,81,Underdog,Action,3440,27.32,85.47,213.8,299.27,110,272.06,2011
Red Riding Hood,Warner Bros,41,Monster Force,Horror,3030,14.01,37.66,51.5,89.16,42,212.29,2011
Rio,Fox,73,Quest,Animation,3826,39.23,143.62,341.02,484.63,90,538.48,2011
Rise of the Planet of the Apes,Fox,87,Revenge,Action,3648,54.81,176.7,305.04,481.74,93,518,2011
Sherlock Holmes 2,Warner Bros,79,Pursuit,Action,3703,39.63,186.85,358.6,545.45,125,436.36,2011
Soul Surfer,Sony,79,Underdog,Drama,2214,10.6,43.85,3.24,47.09,18,261.6,2011
Source Code,Summit,81,The Riddle,Thriller,2961,14.81,54.71,92.62,147.33,32,460.41,2011
Super 8,Paramount,78,Monster Force,Horror,3379,35.45,127,133.09,260.1,50,520.19,2011
The Adjustment Bureau,Independent,67,Sacrifice,Thriller,2840,21.16,62.5,65.37,127.87,50.2,254.72,2011
The Adventures of Tintin,Paramount,78,Quest,Adventure,3087,9.72,77.591,296.402,373.993,130,287.69,2011
The Beaver,Summit,57,Transformation,Drama,22,0.11,0.97,5.4,6.37,21,30.33,2011
The Big Year,Independent,62,Transformation,Comedy,2150,3.25,7.2,0.24,7.45,41,18.17,2011
The Conspirator,Independent,65,Underdog,Drama,707,3.51,11.54,3.94,15.48,25,61.91,2011
The Debt,Universal,70,Pursuit,Thriller,1826,9.91,31.18,14.46,45.64,20,228.18,2011
The Descendants,Fox,88,Discovery,Drama,876,4.38,82.58,94.66,177.24,20,886.22,2011
The Eagle,Universal,43,Quest,Action,2296,8.68,19.49,7.63,27.12,25,108.48,2011
The Help,DreamWorks,91,Maturation,Drama,2534,26.04,169.71,46.93,216.64,25,866.56,2011
The Mechanic,Independent,52,Revenge,Action,2703,11.4,29.12,21.95,51.07,40,127.68,2011
The Muppets,Disney,87,Quest,Comedy,3440,29.24,88.63,76.55,165.18,45,367.08,2011
The Rite,Warner Bros,43,Monster Force,Horror,2985,14.8,33.05,63,96.05,37,259.59,2011
The Roommate,Independent,29,Monster Force,Horror,2534,15,37.3,3.19,40.49,16,253.08,2011
The Rum Diary,Independent,48,Discovery,Drama,2273,5.14,13.11,10.84,23.95,45,53.21,2011
The Smurfs,Sony,50,Fish Out Of Water,Animation,3395,35.61,142.61,421.14,563.75,110,512.5,2011
The Thing,Universal,52,Monster Force,Horror,2996,8.49,16.93,10.5,27.43,38,72.18,2011
The Three Musketeers,Independent,48,Rivalry,Action,3017,8.67,20.37,111.9,132.27,75,176.37,2011
The Tree Of Life,Independent,61,Discovery,Drama,4,0.37,13.3,41,54.3,32,169.7,2011
Thor,Disney,80,Monster Force,Action,3955,65.72,181.03,268.29,449.32,150,299.55,2011
Transformers: Dark of the Moon,DreamWorks,67,Quest,Action,4088,97.85,352.39,771.4,1123.79,195,576.3,2011
Twilight: Breaking Dawn,Independent,68,Love,Romance,4061,138.12,281.29,430.88,712.17,110,647.43,2011
Water For Elephants,Fox,72,Love,Drama,2817,16.84,58.71,58.39,117.09,38,308.14,2011
What's Your Number,Fox,50,Transformation,Comedy,3002,5.42,14.01,16.42,30.43,20,152.13,2011
Winnie The Pooh,Disney,79,Quest,Animation,2405,7.86,26.69,6.46,33.15,30,110.51,2011
X-Men: First Class,Disney,88,Monster Force,Action,3641,55.1,146.41,207.22,353.62,160,221.01,2011
Your Highness,Universal,36,Comedy,Comedy,2769,9.36,21.6,3.26,24.86,49.9,49.81,2011
